feature,data_top,data_low,data_mean,data_std
community,7.837464519121454,-15.374442204010592,-3.768488842444569,3.8686511205220078
dailyfacility,3.701492952304683,-9.34791140107798,-2.8232092243866482,2.174900725563777
dis_haighway,12.515323495575087,6.180679596702001,9.348001546138544,1.0557739831455142
dis_railway,13.003941873578889,5.705183039816423,9.354562456697655,1.2164598056270775
dis_river,11.316910882702276,6.352459885606494,8.834685384154385,0.8274084995159634
dis_road,10.941859093966688,3.8029812858345604,7.372420189900624,1.1898129680220213
dis_trainstation,12.703559275294062,6.907264542103771,9.805411908698916,0.9660491221983818
education,2.7724855826572714,-7.70744586781268,-2.4674801425777044,1.746655241744992
elevation,7.96514804509697,1.8028037143934101,4.88397587974519,1.0270573884505934
enterprise,4.312093939383051,-8.1979773880318,-1.9429417243243747,2.0850118879024753
entertainment,5.797120183377473,-13.348056260701984,-3.775468038662256,3.1908627406799095
finance,2.710858135546753,-8.930294772598359,-3.1097183185258026,1.9401921513575184
hospital,2.8082608458053016,-7.929065365109738,-2.5604022596522182,1.78955436848584
hotel,5.294409499380021,-12.559958061941806,-3.6327742812808923,2.975727926886971
nightlight,4.2855205675564685,-0.42633067811685144,1.9295949447198086,0.7853085409455534
population,9.363140868044766,1.9077252322983016,5.635433050171534,1.2425692726244109
restaurant,4.870775516818702,-10.566162645361866,-2.8476935642715824,2.5728230270300947
Shopping,4.473253034331963,-8.449312160806786,-1.988029563237411,2.153760865856458
slope,4.159161962761088,-2.4172496266233683,0.8709561680688596,1.0960685982307428
transportation,4.122778322089864,-10.515838105607962,-3.1965298917590492,2.4397694046163045
z_eletric_1803,6.329973790751536,-3.6083317224454525,1.3608210341530418,1.656384252199498
z_summer_max,7.71710317463063,-0.23291106777552972,3.74209605342755,1.32500237373436
